Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,22874.269531,23023.730469,22775.919922,22971.939453,22971.939453,72500
2020-02-04,22881.130859,23118.130859,22854.449219,23084.589844,23084.589844,67900
2020-02-05,23351.470703,23414.689453,23241.640625,23319.560547,23319.560547,70300
2020-02-06,23641.099609,23995.369141,23625.130859,23873.589844,23873.589844,95100
2020-02-07,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400
2020-02-10,23631.789063,23788.250000,23621.720703,23685.980469,23685.980469,56500
2020-02-12,23741.210938,23869.730469,23693.720703,23861.210938,23861.210938,74600
2020-02-13,23849.759766,23908.849609,23784.310547,23827.730469,23827.730469,64500
2020-02-14,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100
2020-02-17,23489.779297,23561.980469,23335.990234,23523.240234,23523.240234,54000
2020-02-18,23398.570313,23402.009766,23133.599609,23193.800781,23193.800781,59500
2020-02-19,23329.330078,23468.560547,23234.960938,23400.699219,23400.699219,61600
2020-02-20,23666.580078,23806.560547,23426.419922,23479.150391,23479.150391,63300
2020-02-21,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100
2020-02-25,22949.369141,22950.230469,22335.210938,22605.410156,22605.410156,105800
2020-02-26,22374.140625,22456.550781,22127.419922,22426.189453,22426.189453,99300
2020-02-27,22255.830078,22272.259766,21844.289063,21948.230469,21948.230469,106200
2020-02-28,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500
2020-03-02,20849.789063,21593.109375,20834.289063,21344.080078,21344.080078,123700
2020-03-03,21651.990234,21719.779297,21082.730469,21082.730469,21082.730469,105300
2020-03-04,20897.199219,21245.929688,20862.050781,21100.060547,21100.060547,94600
2020-03-05,21399.869141,21399.869141,21220.759766,21329.119141,21329.119141,85700
2020-03-06,21009.800781,21061.199219,20613.910156,20749.750000,20749.750000,111700
2020-03-09,20343.310547,20347.189453,19472.259766,19698.759766,19698.759766,170300
2020-03-10,19474.890625,19970.349609,18891.769531,19867.119141,19867.119141,164700
2020-03-11,19758.259766,19974.830078,19392.250000,19416.060547,19416.060547,129200
2020-03-12,19064.509766,19142.179688,18339.269531,18559.630859,18559.630859,164600
2020-03-13,18183.470703,18184.460938,16690.599609,17431.050781,17431.050781,233400
2020-03-16,17586.080078,17785.759766,16914.449219,17002.039063,17002.039063,158100
2020-03-17,16726.949219,17557.039063,16378.940430,17011.529297,17011.529297,198800
2020-03-18,17154.080078,17396.839844,16698.460938,16726.550781,16726.550781,177200
2020-03-19,16995.769531,17160.970703,16358.190430,16552.830078,16552.830078,198900
2020-03-23,16570.570313,17049.029297,16480.949219,16887.779297,16887.779297,170300
2020-03-24,17206.880859,18100.390625,17197.140625,18092.349609,18092.349609,147300
2020-03-25,18446.800781,19564.380859,18446.800781,19546.630859,19546.630859,147700
2020-03-26,19234.769531,19240.289063,18512.810547,18664.599609,18664.599609,128100
2020-03-27,19021.970703,19389.429688,18832.210938,19389.429688,19389.429688,148900
2020-03-30,18884.070313,19084.970703,18578.199219,19084.970703,19084.970703,121000
2020-03-31,19181.900391,19336.189453,18834.160156,18917.009766,18917.009766,122200
2020-04-01,18686.119141,18784.250000,17871.619141,18065.410156,18065.410156,105800
2020-04-02,17934.419922,18132.039063,17707.660156,17818.720703,17818.720703,107300
2020-04-03,17951.439453,18059.150391,17646.500000,17820.189453,17820.189453,96000
2020-04-06,17857.990234,18672.259766,17802.619141,18576.300781,18576.300781,105700
2020-04-07,18878.859375,19162.519531,18553.140625,18950.179688,18950.179688,108200
2020-04-08,19047.759766,19454.339844,18730.800781,19353.240234,19353.240234,105900
2020-04-09,19376.000000,19406.960938,19158.550781,19345.769531,19345.769531,82300
2020-04-10,19500.070313,19500.070313,19235.960938,19498.500000,19498.500000,87500
2020-04-13,19312.039063,19355.039063,19014.320313,19043.400391,19043.400391,65600
2020-04-14,19150.300781,19705.990234,19093.119141,19638.810547,19638.810547,81900
2020-04-15,19589.250000,19660.679688,19465.949219,19550.089844,19550.089844,94100
2020-04-16,19311.300781,19362.169922,19154.410156,19290.199219,19290.199219,81400
2020-04-17,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800
2020-04-20,19689.849609,19784.380859,19611.789063,19669.119141,19669.119141,65000
2020-04-21,19479.830078,19529.060547,19193.220703,19280.779297,19280.779297,79400
2020-04-22,19109.179688,19137.949219,18858.250000,19137.949219,19137.949219,76400
2020-04-23,19313.039063,19429.439453,19221.539063,19429.439453,19429.439453,72600
2020-04-24,19331.859375,19352.240234,19175.380859,19262.000000,19262.000000,84700
2020-04-27,19410.839844,19819.060547,19410.179688,19783.220703,19783.220703,77600
2020-04-28,19776.179688,19841.779297,19638.480469,19771.189453,19771.189453,68600
2020-04-30,20105.679688,20365.890625,20084.830078,20193.689453,20193.689453,103400
2020-05-01,19991.970703,20000.250000,19551.730469,19619.349609,19619.349609,86600
2020-05-07,19468.519531,19720.869141,19448.929688,19674.769531,19674.769531,82900
2020-05-08,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200
2020-05-11,20333.730469,20534.880859,20285.039063,20390.660156,20390.660156,76200
2020-05-12,20413.230469,20457.369141,20293.970703,20366.480469,20366.480469,67700
2020-05-13,20140.919922,20329.890625,20056.460938,20267.050781,20267.050781,79500
2020-05-14,20140.490234,20185.000000,19902.929688,19914.779297,19914.779297,76900
2020-05-15,20149.789063,20198.250000,19832.880859,20037.470703,20037.470703,75200
2020-05-18,20097.619141,20197.589844,19999.099609,20133.730469,20133.730469,71900
2020-05-19,20469.519531,20659.460938,20433.449219,20433.449219,20433.449219,93000
2020-05-20,20454.490234,20684.460938,20454.029297,20595.150391,20595.150391,71800
2020-05-21,20692.589844,20734.910156,20503.869141,20552.310547,20552.310547,62900
2020-05-22,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100
2020-05-25,20653.410156,20741.650391,20584.060547,20741.650391,20741.650391,55100
2020-05-26,20927.960938,21328.339844,20918.109375,21271.169922,21271.169922,87200
2020-05-27,21249.310547,21475.679688,21142.720703,21419.230469,21419.230469,112000
2020-05-28,21612.900391,21926.289063,21580.500000,21916.310547,21916.310547,134000
2020-05-29,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200
2020-06-01,21910.890625,22161.390625,21898.990234,22062.390625,22062.390625,72200
